ID,Owner,Workstream,Phase,Task,Done when,Blocked by,Status,Notes
H01,Humera,1. Python API,Week 1,Create backend folder: main.py requirements.txt routers,http://127.0.0.1:8000/docs opens Swagger,—,Not started,
H02,Humera,1. Python API,Week 1,Install fastapi uvicorn firebase-admin httpx and run uvicorn on port 8000 --host 0.0.0.0,API runs on this PC without crashing,—,Not started,
H03,Humera,1. Python API,Week 1,Connect firebase_admin using firebase/serviceAccount.json (do not commit the key),Python can read the members collection,—,Not started,
H04,Humera,1. Python API,Week 1,Put FIREBASE_WEB_API_KEY in backend/.env (Firebase Project settings > General),Login can call Firebase Auth REST,—,Not started,
H05,Humera,1. Python API,Week 1,Add CORS allow all origins/methods/headers,Emulator and phone can call the API,—,Not started,
H06,Humera,1. Python API,Week 1,Auth dependency: read Bearer token verify_id_token load members/{uid},Missing token returns 401,—,Not started,
H07,Humera,1. Python API,Week 1,POST /auth/register — create Auth user + members doc (role Member) + empty memberProfiles,New user appears in Authentication and Firestore,—,Not started,
H08,Humera,1. Python API,Week 1,POST /auth/login — return token role member object (memberId firstName lastName email role),Postman login as member@habibia.co.za returns role Member,Register or seeded users,Not started,
H09,Humera,1. Python API,Week 1,POST /auth/login as admin@habibia.co.za returns role Admin,role is exactly Admin not guessed from the email word,Login route,Not started,
H10,Humera,1. Python API,Week 1,Wrong password returns 401,Postman shows 401,Login route,Not started,
H11,Humera,1. Python API,Week 1,POST /auth/logout returns {ok: true},200 JSON,Login route,Not started,
H12,Humera,1. Python API,Week 1,GET /me and GET /me/profile using the token,Aaliyah name and Recurve profile come back,Login,Not started,
H13,Humera,1. Python API,Week 1,PUT /me/profile updates members + memberProfiles cannot change role,Firestore profile fields change,GET profile,Not started,
H14,Humera,1. Python API,Week 1,Tell David: API is up base URL http://10.0.2.2:8000 working login JSON,David can start HabibiaApi.kt,Login works in Postman,Not started,
H15,Humera,1. Python API,Week 2,GET /events and GET /competitions — JSON keys match ClubEvent and Competition in HabibiaData.kt,Seeded E001 and C001 appear,Auth,Not started,
H16,Humera,1. Python API,Week 2,Admin POST PUT DELETE /events,New event document appears in Firestore,Auth + admin role,Not started,
H17,Humera,1. Python API,Week 2,Admin POST PUT DELETE /competitions — status only UPCOMING / REGISTRATION OPEN / CLOSED,C001 can be edited,Auth + admin role,Not started,
H18,Humera,1. Python API,Week 2,POST /score-sessions — save arrows Python calculates totals memberId = logged-in uid,New scoreSessions doc has totalScore maxScore averageArrow tensCount xCount,Auth,Not started,
H19,Humera,1. Python API,Week 2,Reject POST if arrow value not 0-10 or isX true but value not 10,Returns 400,POST score-sessions,Not started,
H20,Humera,1. Python API,Week 2,Reject LEAGUE unless 6 arrows per end 10 ends 60 arrows,Returns 400,POST score-sessions,Not started,
H21,Humera,1. Python API,Week 2,GET /score-sessions?type=PRACTICE and ?type=LEAGUE — own sessions only date desc,PS001 listed for member token,POST + GET,Not started,
H22,Humera,1. Python API,Week 2,GET /score-sessions/{id} — 403 if not owner and not admin,Member cannot open someone else's session,GET by id,Not started,
H23,Humera,1. Python API,Week 2,GET /score-sessions/{id}/progress — labels + endTotals for graphs,JSON has endTotals array,GET by id,Not started,
H24,Humera,1. Python API,Week 3,GET /admin/members and GET /admin/members/{id} — admin only members get 403,Admin sees Aaliyah; member call is 403,Auth,Not started,
H25,Humera,1. Python API,Week 3,GET /admin/members/{id}/score-sessions?type=PRACTICE and LEAGUE,Admin can see Aaliyah's PS001,Admin members,Not started,
H26,Humera,1. Python API,Week 3,GET /admin/members/{id}/progress?type=PRACTICE and LEAGUE,Graph stats for that member,Admin sessions,Not started,
H27,Humera,1. Python API,Week 3,Optional DELETE /admin/members/{id} — Auth user + member + profile + their sessions,Member disappears from Auth and Firestore,Admin members,Not started,
H28,Humera,1. Python API,Week 3,GET /announcements plus admin POST PUT DELETE,A001 listed; admin can add one,Auth,Not started,
H29,Humera,1. Python API,Week 3,GET /notifications — only that memberId; PUT /notifications/{id}/read,Member sees N001; isRead becomes true,Auth,Not started,
H30,Humera,1. Python API,Week 3,GET /resources plus admin POST PUT DELETE,R001 listed,Auth,Not started,
H31,Humera,1. Python API,Week 3,JSON field names match HabibiaData.kt exactly (eventId competitionId sessionId),David/Humera Android parsing works without renaming,All routes,Not started,
H32,Humera,3. Android scoring,Week 2,Wait until David has HabibiaApi.kt and token login working,Can call HabibiaApi.post from score fragment,David login,Not started,
H33,Humera,3. Android scoring,Week 2,Helper: ScoreSession to POST JSON. Do not send totalScore,JSON matches API.md,HabibiaApi,Not started,
H34,Humera,3. Android scoring,Week 2,ScoreEntryFragment: replace addCompletedSession with POST /score-sessions,New session appears in Firestore after last end,POST route + helper,Not started,
H35,Humera,3. Android scoring,Week 2,On POST fail showMessage and stay on the entry screen,App does not navigate if save failed,POST save,Not started,
H36,Humera,3. Android scoring,Week 3,PracticeScoresFragment: GET /score-sessions?type=PRACTICE then bindHistory,PS001 shows in Practice history,GET sessions,Not started,
H37,Humera,3. Android scoring,Week 3,LeagueScoresFragment: GET /score-sessions?type=LEAGUE,LS001 shows in League history,GET sessions,Not started,
H38,Humera,3. Android scoring,Week 3,ScoreDetailsFragment and SessionCompleteFragment: GET /score-sessions/{id},Ends and arrows show from API,GET by id,Not started,
H39,Humera,3. Android scoring,Week 3,ScoresFragment hub: latest average highest counts from GET lists not dummy,Numbers match Firestore,History GETs,Not started,
H40,Humera,3. Android scoring,Week 3,ProgressFragment graphs from session lists or GET progress,Graph points match saved ends,GET progress,Not started,
H41,Humera,3. Android scoring,Week 3,AdminMemberListFragment: GET /admin/members,Aaliyah listed for admin,Admin members route,Not started,
H42,Humera,3. Android scoring,Week 3,AdminMemberProgressFragment: GET admin member score-sessions and progress,Admin sees that member's Practice and League,Admin score routes,Not started,
H43,Humera,3. Android scoring,Week 3,Do not edit LoginFragment HabibiaApi.kt calendar or Manage screens (David),No overlap with David,—,Not started,
D01,David,2. App connection,Week 1,Wait for Humera Postman login / working /docs,Know BASE_URL and JSON shape,Humera login,Not started,
D02,David,2. App connection,Week 1,AndroidManifest: INTERNET permission + usesCleartextTraffic=true,Emulator can use http://10.0.2.2:8000,—,Not started,
